date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:39:03	320/320	---M-Z	200	added ('OK')	text/plain	date:Sat,%2010%20Apr%202021%2006:04:50%20GMT	https://www.ilarialiprandi.com/robots.txt		(from )
23:39:04	49820/49820	---M-Z	200	added ('OK')	text/html	etag:W/%22705e547ddb90c449698f7eec85a50009%22	https://www.ilarialiprandi.com/	C:/My%20Web%20Sites/Sikemi_portfolio/www.ilarialiprandi.com/index.html	(from )
23:39:05	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Wed,%2014%20Apr%202021%2021:38:50%20GMT	http://static1.squarespace.com/static/596385906b8f5b5620c70b91/t/5964515e9de4bb24909655e6/1499746655965/Orange-40+-+Copia.png?format=1500w	C:/My%20Web%20Sites/Sikemi_portfolio/static1.squarespace.com/static/596385906b8f5b5620c70b91/t/5964515e9de4bb24909655e6/1499746655965/Orange-40+-+Copia.026f7.delayed	(from https://www.ilarialiprandi.com/)
23:39:06	19083/19083	---M--	200	added ('OK')	image/png	etag:CKmM25PsxesCEAE=	https://images.squarespace-cdn.com/content/596385906b8f5b5620c70b91/1499746654570-0OJI9YX2C6J57WSY7Y3W/Orange-40+-+Copia.png?content-type=image%2Fpng	C:/My%20Web%20Sites/Sikemi_portfolio/images.squarespace-cdn.com/content/596385906b8f5b5620c70b91/1499746654570-0OJI9YX2C6J57WSY7Y3W/Orange-40+-+Copia5d45.png	(from https://www.ilarialiprandi.com/)
23:39:07	1244/1244	---M-Z	200	added ('OK')	text/javascript	etag:%22fbdee1c9a5cec5a9eb758f74d9064a12%22	http://assets/universal/scripts-compressed/common-vendors-stable-7eaa020043cd8980b39ad-min.en-US.js	C:/My%20Web%20Sites/Sikemi_portfolio/assets/universal/scripts-compressed/common-vendors-stable-7eaa020043cd8980b39ad-min.en-US.js	(from https://www.ilarialiprandi.com/)
23:39:10	121795/121795	---M-Z	200	added ('OK')	text/javascript	etag:%22407be27f6c01802526b08d75e747f800%22	http://assets/universal/scripts-compressed/cldr-resource-pack-7d6dc599f0e9e5882dcca-min.en-US.js	C:/My%20Web%20Sites/Sikemi_portfolio/assets/universal/scripts-compressed/cldr-resource-pack-7d6dc599f0e9e5882dcca-min.en-US.js	(from https://www.ilarialiprandi.com/)
23:39:10	257746/257746	---M-Z	200	added ('OK')	text/javascript	etag:%220e28a2bab2568967b06ccb29a987d025%22	http://assets/universal/scripts-compressed/moment-js-vendor-26ddeab7fa5f90b6c8cb3-min.en-US.js	C:/My%20Web%20Sites/Sikemi_portfolio/assets/universal/scripts-compressed/moment-js-vendor-26ddeab7fa5f90b6c8cb3-min.en-US.js	(from https://www.ilarialiprandi.com/)
23:39:12	44281/44281	---M-Z	200	added ('OK')	text/javascript	etag:%22110cb82afb27bd221c21fa9cab8f3c83%22	http://assets/universal/scripts-compressed/performance-a7b609eccb65e08a74111-min.en-US.js	C:/My%20Web%20Sites/Sikemi_portfolio/assets/universal/scripts-compressed/performance-a7b609eccb65e08a74111-min.en-US.js	(from https://www.ilarialiprandi.com/)
23:39:19	761/761	---M--	200	added ('OK')	application/rss+xml	etag:W/%2237eaee2cb895c6c4ec09b01ff9fe5e2f%22	https://www.ilarialiprandi.com/welcome-1?format=rss	C:/My%20Web%20Sites/Sikemi_portfolio/www.ilarialiprandi.com/welcome-1a409	(from https://www.ilarialiprandi.com/)
23:39:21	499307/499307	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Apr%202021%2021:39:05%20GMT	http://static1.squarespace.com/static/sitecss/596385906b8f5b5620c70b91/21/52e96934e4b0ea14d0f64568/5963a2989de4bb5a7721d62f/1124-05142015/1539023135277/site.css	C:/My%20Web%20Sites/Sikemi_portfolio/static1.squarespace.com/static/sitecss/596385906b8f5b5620c70b91/21/52e96934e4b0ea14d0f64568/5963a2989de4bb5a7721d62f/1124-05142015/1539023135277/site.css	(from https://www.ilarialiprandi.com/)
